2026-09-25T22:58:07Z INFO Logging to /tmp/logs/update_2026-09-25T22-58-07Z.log.
2026-09-25T22:58:07Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-25T22:58:07Z INFO Processing 364 items (57656 already recorded).
2026-09-25T23:14:57Z INFO [104/364] 1696876e-93d6-4366-8a9d-6715ddf21d12: 48 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:14:58Z INFO [105/364] 1696ae56-a076-4e64-89f6-f00139966b0e: 48 chunks; 0.5 s; peak memory 553 MiB.
2026-09-25T23:14:59Z INFO [106/364] 1697cc9f-56fd-4908-bb75-026d9f63348a: 112 chunks; 1.0 s; peak memory 553 MiB.
2026-09-25T23:14:59Z INFO [107/364] 169886f2-c7b6-4c6d-a109-cc5678d869b1: 52 chunks; 0.4 s; peak memory 553 MiB.
2026-09-25T23:15:00Z INFO [108/364] 16989c88-2631-4c49-b787-eca3f30861a0: 104 chunks; 1.0 s; peak memory 553 MiB.
2026-09-25T23:15:01Z INFO [109/364] 16991f81-23b1-4675-b83e-318f397652a9: 48 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:15:02Z INFO [110/364] 16993431-283e-4795-8469-8908862d06d1: 56 chunks; 0.5 s; peak memory 553 MiB.
2026-09-25T23:15:02Z INFO [111/364] 16993ff8-af44-447c-933d-8c2d19f59f90: 46 chunks; 0.4 s; peak memory 553 MiB.
2026-09-25T23:15:03Z INFO [112/364] 169a480f-cd5d-42a3-a66a-cb0b6b8040d6: 170 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:15:04Z INFO [113/364] 169a52be-69c7-4693-8c60-e29f465b13cf: 48 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:15:04Z INFO [114/364] 169ac040-16b4-4962-83ef-0402b70957bc: 114 chunks; 0.6 s; peak memory 553 MiB.
2026-09-25T23:15:05Z INFO [115/364] 169bd98f-49a4-41f4-a7e1-c669e4bd3e5e: 56 chunks; 0.4 s; peak memory 553 MiB.
2026-09-25T23:15:14Z INFO [116/364] 169be166-06e8-450f-b1d5-1b5729eecf9e: 2199 chunks; 9.2 s; peak memory 553 MiB.
2026-09-25T23:15:16Z INFO [117/364] 169d5b01-b742-4d9b-8cba-11c341fede94: 80 chunks; 1.7 s; peak memory 553 MiB.
2026-09-25T23:15:17Z INFO [118/364] 169d68e8-855f-490e-adc6-39d7a7bcd8ed: 126 chunks; 1.4 s; peak memory 553 MiB.
2026-09-25T23:15:25Z INFO [119/364] 169df90b-08a8-4411-a79f-d492ff2b4309: 15013 chunks; 8.3 s; peak memory 553 MiB.
2026-09-25T23:15:26Z INFO [120/364] 169e9089-101d-45d1-b541-f54b83e67bb1: 57 chunks; 0.5 s; peak memory 553 MiB.
