2026-09-22T22:32:42Z INFO Logging to /tmp/logs/update_2026-09-22T22-32-42Z.log.
2026-09-22T22:32:42Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-22T22:32:43Z INFO Processing 351 items (54324 already recorded).
2026-09-22T22:37:58Z INFO [67/351] 0fa257d2-e9fb-4109-85c8-d62f8cf799e1: 112 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:01Z INFO [68/351] 0fa45f13-de5b-485d-a6ae-5207dfbb3f03: 156 chunks; 3.1 s; peak memory 300 MiB.
2026-09-22T22:38:08Z INFO [69/351] 0fa46087-81eb-4e3c-b600-ff4472cf7efd: 14041 chunks; 6.8 s; peak memory 300 MiB.
2026-09-22T22:38:09Z INFO [70/351] 0fa47a88-c2b0-43ea-b2f5-d156584bbb02: 116 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:10Z INFO [71/351] 0fa54dd0-6d0c-4ae1-aaa5-b0d673e29597: 46 chunks; 0.8 s; peak memory 300 MiB.
2026-09-22T22:38:11Z INFO [72/351] 0fa66600-c2d7-4f9c-88cf-9ceed2caf38d: 69 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:12Z INFO [73/351] 0fa67862-db06-40ab-badd-4b7a5cbc0d6b: 48 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:13Z INFO [74/351] 0fa726ae-96a6-4f2d-a63d-52df5b879775: 116 chunks; 1.0 s; peak memory 300 MiB.
2026-09-22T22:38:18Z INFO [75/351] 0fa78975-86d2-43bc-aca6-bf606948e589: 356 chunks; 4.2 s; peak memory 300 MiB.
2026-09-22T22:38:19Z INFO [76/351] 0fa7ff40-f900-44df-98f7-60f8ba3810d6: 48 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:38:20Z INFO [77/351] 0fa8a5bc-1325-462f-963a-e0c5692cb136: 62 chunks; 1.3 s; peak memory 300 MiB.
2026-09-22T22:38:21Z INFO [78/351] 0fa90612-a94f-4b7c-b577-92896cae81f9: 49 chunks; 1.4 s; peak memory 300 MiB.
2026-09-22T22:38:23Z INFO [79/351] 0fa921b3-0078-45ba-9ee9-71e4f22bfbd6: 557 chunks; 1.4 s; peak memory 300 MiB.
2026-09-22T22:38:24Z INFO [80/351] 0fa9d965-92c6-4eaf-a2fc-5f6e644c41ed: 117 chunks; 1.0 s; peak memory 300 MiB.
2026-09-22T22:38:25Z INFO [81/351] 0faaa046-e898-40b9-84de-309e5aa1afd0: 110 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:42Z INFO [82/351] 0fab1b81-444d-4b59-a6d0-9c788d14d823: 5715 chunks; 16.8 s; peak memory 300 MiB.
2026-09-22T22:38:43Z INFO [83/351] 0fab220c-8966-415c-b634-780d66b79a5e: 117 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:38:44Z INFO [84/351] 0fab6e98-a064-4f9c-8326-4a1cf3e8bd91: 117 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:45Z INFO [85/351] 0fac198a-ce75-4d4d-91a9-3251097658ff: 48 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:38:46Z INFO [86/351] 0fac2b5e-7cf7-4ca2-a3a5-0520a880ace5: 112 chunks; 1.5 s; peak memory 300 MiB.
2026-09-22T22:38:48Z INFO [87/351] 0fac5c1a-9028-4788-86be-c68fe6561a7c: 289 chunks; 1.4 s; peak memory 300 MiB.
2026-09-22T22:38:49Z INFO [88/351] 0fad5454-513d-4e8c-8c24-00a01d5fe400: 69 chunks; 1.0 s; peak memory 300 MiB.
