2026-09-17T12:53:54Z INFO Logging to /tmp/logs/update_2026-09-17T12-53-54Z.log.
2026-09-17T12:53:54Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T12:53:55Z INFO Processing 385 items (48028 already recorded).
2026-09-17T13:15:16Z INFO [125/385] 0291822b-1a0b-4ce3-bef3-c4eb937ab88e: 48 chunks; 1.2 s; peak memory 1146 MiB.
2026-09-17T13:15:17Z INFO [126/385] 0291edda-91e2-4268-b7c4-453a5550909e: 52 chunks; 1.4 s; peak memory 1146 MiB.
2026-09-17T13:15:25Z INFO [127/385] 029295d9-7ab6-49d9-af94-d28f2b3bbde5: 4151 chunks; 7.5 s; peak memory 1146 MiB.
2026-09-17T13:15:26Z INFO [128/385] 02935dd8-b9a1-4625-8c3a-f8f14ff0e25e: 45 chunks; 1.0 s; peak memory 1146 MiB.
2026-09-17T13:15:37Z INFO [129/385] 02937297-72ad-4c19-8e02-f0bc9d9f5c0f: 829 chunks; 10.7 s; peak memory 1146 MiB.
2026-09-17T13:15:38Z INFO [130/385] 02938ebc-1379-4389-af75-d487d29f0a27: 112 chunks; 1.8 s; peak memory 1146 MiB.
2026-09-17T13:15:51Z INFO [131/385] 02946b87-acda-4ee1-8dc5-19939ec7b787: 18882 chunks; 12.5 s; peak memory 1146 MiB.
2026-09-17T13:15:53Z INFO [132/385] 02949b71-7360-4a8f-9b81-9f51282f8e5c: 112 chunks; 1.7 s; peak memory 1146 MiB.
2026-09-17T13:15:54Z INFO [133/385] 0294e0a5-df23-4bd9-bb5f-f1660afbbc22: 112 chunks; 1.8 s; peak memory 1146 MiB.
2026-09-17T13:15:56Z INFO [134/385] 02950439-2230-46aa-bae8-d7ee63bff896: 48 chunks; 1.3 s; peak memory 1146 MiB.
2026-09-17T13:16:00Z INFO [135/385] 02954af6-e78d-4cde-8f65-e57e804b4eb1: 9092 chunks; 4.2 s; peak memory 1146 MiB.
2026-09-17T13:16:01Z INFO [136/385] 02954c97-270f-4783-8d50-1017070272e0: 69 chunks; 1.4 s; peak memory 1146 MiB.
2026-09-17T13:16:03Z INFO [137/385] 02959882-f6a0-4953-8315-ae122f73ee3e: 45 chunks; 1.5 s; peak memory 1146 MiB.
2026-09-17T13:16:05Z INFO [138/385] 0295bd30-d875-4221-8bf9-fd26a50e4730: 64 chunks; 1.8 s; peak memory 1146 MiB.
2026-09-17T13:16:06Z INFO [139/385] 02966e4b-e374-497b-a978-f323a372b4da: 56 chunks; 1.0 s; peak memory 1146 MiB.
2026-09-17T13:16:10Z INFO [140/385] 0297c5f6-6d74-4df9-9180-0a63573ad406: 532 chunks; 4.6 s; peak memory 1146 MiB.
2026-09-17T13:16:12Z INFO [141/385] 02995666-ca83-462e-8955-8cade5c9dad0: 78 chunks; 1.4 s; peak memory 1146 MiB.
2026-09-17T13:16:13Z INFO [142/385] 0299a00d-47db-4aa9-b708-b4428c271107: 289 chunks; 1.8 s; peak memory 1146 MiB.
2026-09-17T13:16:15Z INFO [143/385] 0299aacd-4811-437f-9539-54feaa63e240: 42 chunks; 1.4 s; peak memory 1146 MiB.
2026-09-17T13:16:28Z INFO [144/385] 0299de1d-65a8-49d3-b61e-68a329ec7256: 12321 chunks; 13.0 s; peak memory 1146 MiB.
2026-09-17T13:16:41Z INFO [145/385] 029aded6-3070-4d1f-a252-41fad264a6fe: 19755 chunks; 13.4 s; peak memory 1146 MiB.
2026-09-17T13:16:42Z INFO [146/385] 029bf697-4540-4395-b264-3edb210470a8: 38 chunks; 1.2 s; peak memory 1146 MiB.
2026-09-17T13:16:44Z INFO [147/385] 029d5a86-0e9b-418c-813b-ffb02539af15: 112 chunks; 1.8 s; peak memory 1146 MiB.
2026-09-17T14:12:24Z INFO [148/385] 029d6050-dc13-418b-97a3-bbfbd958e998: 557286 chunks; 3340.3 s; peak memory 1157 MiB.
2026-09-17T14:12:26Z INFO [149/385] 029d681f-5887-4e88-9d28-627bd08d5723: 117 chunks; 1.7 s; peak memory 1157 MiB.
2026-09-17T14:12:28Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: 78 chunks; 1.4 s; peak memory 1157 MiB.
2026-09-17T14:12:28Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: checkpointed 48178 records.
2026-09-17T14:14:37Z INFO [151/385] 029ea7e2-96c1-4daa-bed3-0251b54fc56e: 37945 chunks; 129.3 s; peak memory 1157 MiB.
2026-09-17T14:14:39Z INFO [152/385] 029ecb06-e88c-4b7b-99f8-f434c257921c: 110 chunks; 2.0 s; peak memory 1157 MiB.
2026-09-17T14:14:52Z INFO [153/385] 02a17d04-270c-4fbf-9736-b02f5edc72bc: 11175 chunks; 13.3 s; peak memory 1157 MiB.
2026-09-17T14:14:54Z INFO [154/385] 02a1d9ba-34cf-4ec3-9da4-a6d09389448f: 48 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-17T14:14:57Z INFO [155/385] 02a24b84-5179-429c-8e97-d03da5ecbcb1: 156 chunks; 3.3 s; peak memory 1157 MiB.
2026-09-17T14:14:59Z INFO [156/385] 02a2d86b-f848-4846-9e29-d92b8cbc38d2: 112 chunks; 1.6 s; peak memory 1157 MiB.
2026-09-17T14:15:00Z INFO [157/385] 02a32839-becd-4722-9c93-59e02da90002: 84 chunks; 1.6 s; peak memory 1157 MiB.
2026-09-17T14:15:02Z INFO [158/385] 02a37861-2b09-4c07-8421-2ffa0a97102e: 78 chunks; 2.2 s; peak memory 1157 MiB.
2026-09-17T14:15:04Z INFO [159/385] 02a40a80-742a-424e-8e01-7cda99237e8e: 48 chunks; 1.3 s; peak memory 1157 MiB.
2026-09-17T14:15:05Z INFO [160/385] 02a42b1f-1cf4-436f-9320-c7d937bad4fa: 48 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-17T14:15:06Z INFO [161/385] 02a5842f-430f-4b12-a276-798dd69ae01a: 54 chunks; 1.0 s; peak memory 1157 MiB.
2026-09-17T14:15:07Z INFO [162/385] 02a6166e-28e2-4e65-b0cb-809e8a8f6cec: 118 chunks; 1.4 s; peak memory 1157 MiB.
2026-09-17T14:15:09Z INFO [163/385] 02a767b0-1fb4-4989-ad41-174aafcd972e: 117 chunks; 1.5 s; peak memory 1157 MiB.
2026-09-17T14:15:30Z INFO [164/385] 02a82567-39a8-4040-8860-17a550d6257d: 27613 chunks; 21.1 s; peak memory 1157 MiB.
2026-09-17T14:15:33Z INFO [165/385] 02a87624-9c8a-4fc5-b5a4-c595629b2717: 85 chunks; 3.3 s; peak memory 1157 MiB.
2026-09-17T14:15:46Z INFO [166/385] 02a87829-cda9-4cae-a640-72d93d360e9c: 17536 chunks; 13.2 s; peak memory 1157 MiB.
2026-09-17T14:15:48Z INFO [167/385] 02a9596d-8286-4034-a5bb-80b902fed0ff: 48 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-17T14:16:05Z INFO [168/385] 02a95f1a-6af7-44fa-870b-540be1598e25: 8504 chunks; 17.6 s; peak memory 1157 MiB.
2026-09-17T14:16:08Z INFO [169/385] 02ab385f-0a13-4617-9241-cb80277b5f04: 364 chunks; 2.4 s; peak memory 1157 MiB.
2026-09-17T14:16:11Z INFO [170/385] 02ab47cd-b9ff-46f8-9ae5-f7629e230317: 663 chunks; 3.3 s; peak memory 1157 MiB.
2026-09-17T14:16:14Z INFO [171/385] 02ab5f1d-b90f-4109-915f-94e39431d8fa: 192 chunks; 2.9 s; peak memory 1157 MiB.
2026-09-17T14:16:15Z INFO [172/385] 02abdba1-11e3-4245-a4d7-8af2193b29a6: 48 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-17T14:16:16Z INFO [173/385] 02ace5ca-49ef-420e-b605-64cbc69ef4de: 110 chunks; 1.2 s; peak memory 1157 MiB.
2026-09-17T14:16:18Z INFO [174/385] 02acf65f-66d3-455f-880f-df80ab42894f: 68 chunks; 1.5 s; peak memory 1157 MiB.
