2026-09-20T22:03:17Z INFO Logging to /tmp/logs/update_2026-09-20T22-03-17Z.log.
2026-09-20T22:03:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-20T22:03:17Z INFO Processing 369 items (52128 already recorded).
2026-09-20T23:02:38Z INFO [129/369] 0b46245f-b35b-4dc8-93cd-1a0c6e25bf9d: 118 chunks; 1.6 s; peak memory 1208 MiB.
2026-09-20T23:02:40Z INFO [130/369] 0b468400-5d4d-4faf-bc1a-58af167326af: 66 chunks; 1.9 s; peak memory 1208 MiB.
2026-09-20T23:02:52Z INFO [131/369] 0b46a676-9687-4612-8aee-f882e512f2e5: 20074 chunks; 12.2 s; peak memory 1208 MiB.
2026-09-20T23:02:54Z INFO [132/369] 0b479f50-474c-4d5c-bb9e-5860859b1610: 66 chunks; 2.2 s; peak memory 1208 MiB.
2026-09-20T23:02:56Z INFO [133/369] 0b47f65a-62f1-4a31-9c18-80395815e9d8: 118 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:02:57Z INFO [134/369] 0b49e2e6-6290-45a2-b164-5c64c17d40ee: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:02:58Z INFO [135/369] 0b4a0a1c-5263-422b-ab26-692ba7b5690b: 48 chunks; 1.2 s; peak memory 1208 MiB.
2026-09-20T23:02:59Z INFO [136/369] 0b4a4659-d84c-403c-aa1d-86af47100770: 52 chunks; 1.1 s; peak memory 1208 MiB.
2026-09-20T23:03:01Z INFO [137/369] 0b4af40a-ddbe-4ad1-b721-4973b4db278b: 117 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:03:03Z INFO [138/369] 0b4b8950-e0c9-49a4-b480-eef029e69d81: 118 chunks; 2.0 s; peak memory 1208 MiB.
2026-09-20T23:03:05Z INFO [139/369] 0b4c7afe-a47c-4b90-a83d-0d836f556bf3: 71 chunks; 2.1 s; peak memory 1208 MiB.
2026-09-20T23:03:07Z INFO [140/369] 0b4ca8a8-4100-4b24-b752-c8d961441986: 113 chunks; 1.9 s; peak memory 1208 MiB.
2026-09-20T23:03:08Z INFO [141/369] 0b4cd329-30b8-4dc4-a799-409149521d7d: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:03:24Z INFO [142/369] 0b4d0989-9193-46eb-b500-2f56b1416880: 8232 chunks; 15.9 s; peak memory 1208 MiB.
2026-09-20T23:03:26Z INFO [143/369] 0b4d690c-ddd9-4d95-80aa-1a6d9a23c907: 112 chunks; 1.5 s; peak memory 1208 MiB.
2026-09-20T23:03:27Z INFO [144/369] 0b4d7b8d-ce40-42d3-872d-68495a72d88f: 117 chunks; 1.5 s; peak memory 1208 MiB.
2026-09-20T23:03:29Z INFO [145/369] 0b4e843b-4878-447a-9a56-42b85d927027: 114 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:03:39Z INFO [146/369] 0b4eb1a8-a10b-4b55-8d3d-0969f1824364: 6098 chunks; 10.1 s; peak memory 1208 MiB.
2026-09-20T23:03:41Z INFO [147/369] 0b4ec03d-d338-4459-a0ee-7b3e70f289e4: 62 chunks; 1.6 s; peak memory 1208 MiB.
2026-09-20T23:03:42Z INFO [148/369] 0b4f67e6-7a1a-44a9-9492-523ca7a487bb: 117 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:03:43Z INFO [149/369] 0b4fc9ac-ed67-4cf0-8968-12c5a09464eb: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:03:45Z INFO [150/369] 0b4ff4f0-04e4-4288-a4fc-281d5dd91c8b: 48 chunks; 1.4 s; peak memory 1208 MiB.
2026-09-20T23:03:45Z INFO [150/369] 0b4ff4f0-04e4-4288-a4fc-281d5dd91c8b: checkpointed 52278 records.
2026-09-20T23:03:49Z INFO [151/369] 0b5058e9-4f6e-45e9-a011-6385e2cedf2c: 154 chunks; 3.6 s; peak memory 1208 MiB.
2026-09-20T23:03:50Z INFO [152/369] 0b522057-6c77-451e-9fde-e86f2ac2e7d5: 117 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:03:53Z INFO [153/369] 0b52fdb6-6afd-4611-a1c9-5798860fe16a: 119 chunks; 2.6 s; peak memory 1208 MiB.
2026-09-20T23:03:54Z INFO [154/369] 0b5331d5-8e87-427e-b82e-d39280ad3fbd: 63 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:03:56Z INFO [155/369] 0b54270a-b8fe-4951-a6ba-d6dfac362c50: 111 chunks; 1.8 s; peak memory 1208 MiB.
2026-09-20T23:04:12Z INFO [156/369] 0b54dadc-af2b-48cc-8668-cd18002f8d64: 5635 chunks; 15.6 s; peak memory 1208 MiB.
2026-09-20T23:04:24Z INFO [157/369] 0b553f93-b41d-4d48-bcb2-f6007e647272: 6689 chunks; 12.5 s; peak memory 1208 MiB.
2026-09-20T23:04:34Z INFO [158/369] 0b554ee0-0eb4-41fc-b22c-08f9ba4ec21a: 20952 chunks; 9.6 s; peak memory 1208 MiB.
2026-09-20T23:04:35Z INFO [159/369] 0b558a53-7c9a-4dcf-9539-abb8bc83becb: 117 chunks; 1.5 s; peak memory 1208 MiB.
2026-09-20T23:04:37Z INFO [160/369] 0b55e872-bb10-49bf-9eb5-6d8be88918d8: 112 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:04:39Z INFO [161/369] 0b55f996-7eda-4cde-b042-f8ce861274bb: 117 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:04:41Z INFO [162/369] 0b561c45-9c92-4794-bdea-b04f9facb9bb: 64 chunks; 2.0 s; peak memory 1208 MiB.
2026-09-20T23:04:43Z INFO [163/369] 0b56ac38-2d27-4129-9e5f-4daa17428719: 174 chunks; 1.9 s; peak memory 1208 MiB.
2026-09-20T23:04:44Z INFO [164/369] 0b56fc97-342e-4ff7-922b-34e73e88abd1: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:04:46Z INFO [165/369] 0b572e5d-fb3d-4282-8fc7-28ccbfc66f1f: 118 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T23:04:47Z INFO [166/369] 0b5764d3-a823-4886-8958-27f519b9bcc5: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:04:49Z INFO [167/369] 0b578e34-101c-4a62-9814-ce73dc0ea2f4: 112 chunks; 2.1 s; peak memory 1208 MiB.
2026-09-20T23:04:50Z INFO [168/369] 0b585bcf-164f-4f1d-8a2d-85c661a1d03a: 48 chunks; 1.2 s; peak memory 1208 MiB.
2026-09-20T23:05:05Z INFO [169/369] 0b58640d-da8e-4457-a0cf-98333a9f5e69: 10539 chunks; 14.5 s; peak memory 1208 MiB.
2026-09-20T23:05:07Z INFO [170/369] 0b588dec-925e-430d-9a3d-6a405f8841bb: 112 chunks; 2.1 s; peak memory 1208 MiB.
