2026-09-18T22:04:27Z INFO Logging to /tmp/logs/update_2026-09-18T22-04-27Z.log.
2026-09-18T22:04:27Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-18T22:04:27Z INFO Processing 369 items (49898 already recorded).
2026-09-18T22:22:25Z INFO [154/369] 069c27ca-2242-42f4-9c61-d5b107ee62ce: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:22:26Z INFO [155/369] 069c474d-9118-429a-a69c-034d8070ad1f: 71 chunks; 1.1 s; peak memory 1132 MiB.
2026-09-18T22:22:27Z INFO [156/369] 069cb574-8dd0-4c46-9c45-e73a673dc394: 84 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:28Z INFO [157/369] 069d7758-9d88-4420-b691-a4bec2692b76: 66 chunks; 1.1 s; peak memory 1132 MiB.
2026-09-18T22:22:29Z INFO [158/369] 069da60f-2eeb-4c8d-8d11-6140332dd31f: 117 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:30Z INFO [159/369] 069df294-cf2f-4195-b6dd-cd7471f17930: 118 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:22:35Z INFO [160/369] 069ec362-d03a-4f3c-b126-45d035de7e56: 11845 chunks; 5.7 s; peak memory 1132 MiB.
2026-09-18T22:22:36Z INFO [161/369] 069f0101-1f71-4217-ad91-6cecb3262a42: 45 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:37Z INFO [162/369] 06a07c0b-36cb-432a-a785-ae557877dc4a: 112 chunks; 1.0 s; peak memory 1132 MiB.
2026-09-18T22:22:38Z INFO [163/369] 06a0ca48-b819-4d49-8e4d-8ac0e0219a59: 49 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:39Z INFO [164/369] 06a1998b-ef7d-4390-aa1d-42ac2e7ea983: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:22:39Z INFO [165/369] 06a2fb2e-48f7-4930-93d9-aeb6bfcce6e4: 117 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:40Z INFO [166/369] 06a30362-8d18-4dd3-96ea-63ef600a3c0e: 116 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:22:41Z INFO [167/369] 06a36259-7480-4845-bafc-25dcaf35d2d0: 46 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:22:42Z INFO [168/369] 06a37b5d-0bda-4735-ab67-a4ab67f74eda: 69 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:22:42Z INFO [169/369] 06a40fae-6f18-41cc-a11b-560a38ac0f01: 289 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:22:55Z INFO [170/369] 06a42936-152f-4887-bf61-69f1f342b3b7: 6126 chunks; 12.5 s; peak memory 1132 MiB.
2026-09-18T22:24:26Z INFO [171/369] 06a45a06-2c5e-46e0-b296-b0d2348f5b71: 45109 chunks; 91.0 s; peak memory 1132 MiB.
2026-09-18T22:24:27Z INFO [172/369] 06a4ac18-4298-4c0e-8de7-262480d26fe7: 115 chunks; 1.6 s; peak memory 1132 MiB.
2026-09-18T22:24:28Z INFO [173/369] 06a4ba8d-3ee7-4b95-a526-cb115140ce6d: 118 chunks; 0.9 s; peak memory 1132 MiB.
