2026-09-17T17:52:14Z INFO Logging to /tmp/logs/update_2026-09-17T17-52-14Z.log.
2026-09-17T17:52:14Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T17:52:14Z INFO Processing 371 items (48413 already recorded).
2026-09-17T17:58:32Z INFO [116/371] 03584060-6183-4d46-8aef-e03954523b2c: 131 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:58:33Z INFO [117/371] 035963d3-35e8-4a3e-ab35-e777ea8f180b: 49 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T18:10:44Z INFO [118/371] 0359ab7f-ead0-4d29-89a3-2d7b222ee960: 384095 chunks; 731.1 s; peak memory 1135 MiB.
2026-09-17T18:10:45Z INFO [119/371] 035d2ab2-b408-4024-9734-08f4001b6fef: 66 chunks; 1.2 s; peak memory 1135 MiB.
2026-09-17T18:11:00Z INFO [120/371] 035d7e09-4b1e-4e55-aba2-0108c0307bda: 24259 chunks; 14.7 s; peak memory 1135 MiB.
2026-09-17T18:11:00Z INFO [121/371] 035e4100-b31d-46ee-8cf3-cffd1b45bb9b: 69 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:11:01Z INFO [122/371] 035e8698-2903-4745-96d1-cbf452b495a6: 112 chunks; 0.9 s; peak memory 1135 MiB.
2026-09-17T18:11:02Z INFO [123/371] 035ea321-9263-492e-bf39-ac90bbc1e076: 162 chunks; 0.8 s; peak memory 1135 MiB.
2026-09-17T18:11:03Z INFO [124/371] 035f8da8-c282-4763-acd1-e6e254f65d29: 71 chunks; 1.1 s; peak memory 1135 MiB.
2026-09-17T18:11:05Z INFO [125/371] 035fb1c0-567d-4f59-9140-f0d7cdd67882: 71 chunks; 1.3 s; peak memory 1135 MiB.
2026-09-17T18:11:05Z INFO [126/371] 035ff603-49ef-41ce-bf8f-38e39f6f0780: 48 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:11:07Z INFO [127/371] 036089c0-5bef-4f09-97b1-bc7e5ddaa441: 115 chunks; 1.5 s; peak memory 1135 MiB.
2026-09-17T18:11:07Z INFO [128/371] 0360b7ac-16ea-4852-823d-6525164e418d: 48 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:11:08Z INFO [129/371] 0360e12b-d6c4-4094-bc19-6a125f427d38: 48 chunks; 0.6 s; peak memory 1135 MiB.
2026-09-17T18:11:10Z INFO [130/371] 0361752b-de7f-4a93-b272-4e35b9987ed0: 80 chunks; 1.7 s; peak memory 1135 MiB.
2026-09-17T18:11:10Z INFO [131/371] 036212a9-0cc2-4b88-af0f-f2ac683244f0: 45 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:11:11Z INFO [132/371] 036217bf-e4b1-433e-8ca7-f2193e63991a: 48 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:11:12Z INFO [133/371] 0362a1f6-e2d0-4115-9d80-477aca7e9258: 52 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:11:13Z INFO [134/371] 0362fbde-a28a-428a-a17c-bfee09afdb6c: 118 chunks; 0.9 s; peak memory 1135 MiB.
2026-09-17T18:11:14Z INFO [135/371] 0363223b-f442-47fe-ba10-461f0d59c477: 117 chunks; 0.8 s; peak memory 1135 MiB.
2026-09-17T18:11:17Z INFO [136/371] 0363be5b-35e7-48c3-99eb-2114cd2f852d: 4573 chunks; 3.9 s; peak memory 1135 MiB.
2026-09-17T18:11:18Z INFO [137/371] 03640b7e-7a8d-4421-99d8-3b7ab51d3ff5: 71 chunks; 1.0 s; peak memory 1135 MiB.
2026-09-17T18:13:01Z INFO [138/371] 036479ff-b638-4212-9329-6b5454fdc7a7: 40654 chunks; 102.7 s; peak memory 1135 MiB.
2026-09-17T18:13:05Z INFO [139/371] 03649a8b-8d4d-4ae8-93d3-a7de6d91de8e: 9500 chunks; 3.8 s; peak memory 1135 MiB.
2026-09-17T18:13:06Z INFO [140/371] 03663897-00d6-4966-8eed-80ffbf7b9ea5: 112 chunks; 0.7 s; peak memory 1135 MiB.
2026-09-17T18:13:06Z INFO [141/371] 0366e129-5f82-43db-8a33-33fea8391cb4: 45 chunks; 0.6 s; peak memory 1135 MiB.
2026-09-17T18:15:50Z INFO [142/371] 0366fa38-44be-4caa-8366-abf46045e308: 1916257 chunks; 164.3 s; peak memory 1268 MiB.
2026-09-17T18:15:51Z INFO [143/371] 036719e6-8d14-44a8-853b-8b7cd6c94ebd: 66 chunks; 1.0 s; peak memory 1268 MiB.
2026-09-17T18:15:52Z INFO [144/371] 036787b8-1205-4ca6-ae07-fa30d6d9ab41: 48 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:15:53Z INFO [145/371] 0367d7ed-5bfe-4f60-b1eb-5fa6b7a33595: 69 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:15:55Z INFO [146/371] 03686970-8ef3-4fe1-b01a-fd5336f55a48: 116 chunks; 1.8 s; peak memory 1268 MiB.
2026-09-17T18:15:58Z INFO [147/371] 036886da-2908-4b4d-acc4-4012b20eb69f: 7761 chunks; 3.2 s; peak memory 1268 MiB.
2026-09-17T18:15:59Z INFO [148/371] 036a6fbe-2be9-4f4b-abe5-22cd936dda6b: 112 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:00Z INFO [149/371] 036b84a2-7fb0-4fe5-abe3-0b664f03ea46: 48 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:16:02Z INFO [150/371] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: 156 chunks; 2.0 s; peak memory 1268 MiB.
2026-09-17T18:16:02Z INFO [150/371] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: checkpointed 48563 records.
2026-09-17T18:16:03Z INFO [151/371] 036d9166-d206-48d0-84e2-8d0e0e7bde9d: 48 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:16:03Z INFO [152/371] 036ea15c-6a03-4daa-934e-4daf8ac79520: 45 chunks; 0.5 s; peak memory 1268 MiB.
2026-09-17T18:16:04Z INFO [153/371] 036eff90-215e-4412-8c74-6089062aa4f8: 48 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:16:04Z INFO [154/371] 037021f4-bd1b-4183-a264-cd79e76aa68e: 48 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:07Z INFO [155/371] 03707dbc-8304-479c-88a1-a5b36a8cedde: 788 chunks; 2.9 s; peak memory 1268 MiB.
2026-09-17T18:16:08Z INFO [156/371] 03709c6c-40e9-49bd-a214-1eb46261bec9: 116 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:09Z INFO [157/371] 0370fc2d-5cb0-4049-bc05-f0f9fcd935e0: 50 chunks; 0.6 s; peak memory 1268 MiB.
2026-09-17T18:16:13Z INFO [158/371] 03713bf2-9ef7-4fe2-92e4-f2887fa4bfe5: 4151 chunks; 4.0 s; peak memory 1268 MiB.
2026-09-17T18:16:13Z INFO [159/371] 0371cdd7-3bf7-45a4-900a-2c90a2541dbd: 230 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:14Z INFO [160/371] 0372dbd7-aab3-4eef-9313-41693dae00cb: 557 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:15Z INFO [161/371] 0373060e-42f4-48b6-ad0c-5ce065996e9d: 62 chunks; 1.1 s; peak memory 1268 MiB.
2026-09-17T18:16:16Z INFO [162/371] 03738ca4-472d-4510-8fc5-d05f1f6c1891: 90 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:17Z INFO [163/371] 0373e678-f683-488e-af98-8e4856874447: 48 chunks; 0.6 s; peak memory 1268 MiB.
2026-09-17T18:16:17Z INFO [164/371] 03742bde-edac-4f4e-98b2-8a356d10fd35: 48 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:16:20Z INFO [165/371] 0375a406-f151-4e99-8ff4-3cb5ff79e2be: 7445 chunks; 2.8 s; peak memory 1268 MiB.
2026-09-17T18:16:22Z INFO [166/371] 037606f9-1415-4829-b7b9-84bf50525328: 1061 chunks; 1.5 s; peak memory 1268 MiB.
2026-09-17T18:16:23Z INFO [167/371] 03761aa2-e0ab-4711-bcf1-0df897c3b356: 118 chunks; 0.8 s; peak memory 1268 MiB.
2026-09-17T18:16:23Z INFO [168/371] 03763b46-a5d2-4443-b896-f8576bd92ee2: 117 chunks; 0.7 s; peak memory 1268 MiB.
2026-09-17T18:16:24Z INFO [169/371] 0376e06d-727c-4fef-8e83-262f298427ed: 46 chunks; 0.6 s; peak memory 1268 MiB.
2026-09-17T18:16:26Z INFO [170/371] 03774c71-940e-4149-8d0b-ba76e76e0236: 146 chunks; 1.7 s; peak memory 1268 MiB.
2026-09-17T18:16:29Z INFO [171/371] 03778925-295d-43ad-88cc-0a7f42ab901e: 3685 chunks; 3.8 s; peak memory 1268 MiB.
2026-09-17T18:16:30Z INFO [172/371] 0378476f-30d8-4389-9f55-b06da2f87969: 46 chunks; 0.5 s; peak memory 1268 MiB.
2026-09-17T18:16:35Z INFO [173/371] 0378a803-fd3f-4fa4-9923-caf25115bd4b: 6968 chunks; 5.5 s; peak memory 1268 MiB.
